ParticipantID,Trial,FixationNo,StartTime,EndTime,Duration,PositionX,PositionY,PupilSize,EyeUsed,Order,Task
goblin1,1,1,4,412,410,662,474.4,4967,LEFT,1,Searching
goblin1,1,2,452,786,336,904.5,683.7,5004,LEFT,1,Searching
goblin1,1,3,834,1162,330,1074.4,549.4,4884,LEFT,1,Searching
goblin1,1,4,1186,1402,218,1163.6,525.6,4884,LEFT,1,Searching
goblin1,1,5,1420,1818,400,1151.9,483.3,5002,LEFT,1,Searching
goblin1,1,6,1866,2128,264,1537.3,471.5,4984,LEFT,1,Searching
goblin1,1,7,2142,2366,226,1553,502.2,4944,LEFT,1,Searching
goblin1,1,8,2384,2536,154,1499.4,484,4925,LEFT,1,Searching
goblin1,1,9,2588,2824,238,1478.3,160.7,4877,LEFT,1,Searching
goblin1,1,10,2842,3116,276,1472.6,132.9,4763,LEFT,1,Searching
goblin1,1,11,3172,3600,430,849.6,123.7,4728,LEFT,1,Searching
goblin1,1,12,3654,3850,198,252.1,372,5067,LEFT,1,Searching
goblin1,1,13,3880,4126,248,193.3,507.6,5184,LEFT,1,Searching
goblin1,1,14,4154,4350,198,357.1,489.2,5270,LEFT,1,Searching
goblin1,1,15,4378,4770,394,214.1,501.5,5251,LEFT,1,Searching
goblin1,1,16,4792,5366,576,151.3,503.3,5311,LEFT,1,Searching
goblin1,1,17,5402,5580,180,221.3,672.5,5350,LEFT,1,Searching
goblin1,1,18,5592,6056,466,224.3,702.3,5321,LEFT,1,Searching
goblin1,1,19,6096,6298,204,235,956,5147,LEFT,1,Searching
goblin1,1,20,6326,6872,548,100.2,973.7,5202,LEFT,1,Searching
goblin1,1,21,6898,7218,322,247.8,1029.1,5278,LEFT,1,Searching
goblin1,1,22,7230,8018,790,230,1033.1,5392,LEFT,1,Searching
goblin1,1,23,8072,8320,250,686.7,1032.2,5450,LEFT,1,Searching
goblin1,1,24,8372,8838,468,1181.8,1047.8,5167,LEFT,1,Searching
goblin1,1,25,8884,9080,198,1538.9,1043,4968,LEFT,1,Searching
goblin1,1,26,9096,9304,210,1501.4,1042.1,4897,LEFT,1,Searching
goblin1,1,27,9348,9562,216,1526.4,815.3,4903,LEFT,1,Searching
goblin1,1,28,9602,9788,188,1501.2,1067,4870,LEFT,1,Searching
goblin1,1,29,9836,10040,206,1478.5,743.6,4994,LEFT,1,Searching
goblin1,1,30,10060,10282,224,1471.1,807.5,4978,LEFT,1,Searching
goblin1,1,31,10310,10532,224,1575.4,803.2,4995,LEFT,1,Searching
goblin1,1,32,10584,11132,550,1023.3,868.6,5204,LEFT,1,Searching
goblin1,1,33,11160,11448,290,912.1,984.4,5312,LEFT,1,Searching
goblin1,1,34,11462,11854,394,962.5,979.8,5339,LEFT,1,Searching
goblin1,1,35,11910,12550,642,362.5,995.2,5673,LEFT,1,Searching
goblin1,1,36,12572,12748,178,442.6,1008.9,5808,LEFT,1,Searching
goblin1,1,37,12794,13120,328,122.7,976.5,5753,LEFT,1,Searching
goblin1,1,38,13132,13534,404,103.5,976.8,5509,LEFT,1,Searching
goblin1,1,39,13562,13880,320,251.6,1029,5334,LEFT,1,Searching
goblin1,1,40,13930,14194,266,359.4,614.3,5240,LEFT,1,Searching
goblin1,1,41,14226,14616,392,240.4,719.8,4962,LEFT,1,Searching
goblin1,1,42,14648,15158,512,358.8,609.6,4682,LEFT,1,Searching
goblin1,1,43,15198,15510,314,158.3,531.2,4793,LEFT,1,Searching
goblin1,1,44,15528,15736,210,101.5,517.4,4953,LEFT,1,Searching
goblin1,1,45,15748,15936,190,129.7,512.1,5060,LEFT,1,Searching
goblin1,1,46,15998,16202,206,1020.2,533.8,5177,LEFT,1,Searching
goblin1,1,47,16230,16392,164,1142.4,505.9,5051,LEFT,1,Searching
goblin1,1,48,16442,16672,232,606.1,525.9,5027,LEFT,1,Searching
goblin1,1,49,16724,16926,204,1205.8,535,5032,LEFT,1,Searching
goblin1,1,50,16954,17090,138,1314.8,542.6,5003,LEFT,1,Searching
goblin1,1,51,17112,17282,172,1387.7,528.5,4932,LEFT,1,Searching
goblin1,1,52,17294,17552,260,1366.2,531.5,4846,LEFT,1,Searching
goblin1,1,53,17562,18270,710,1351.7,522.3,4733,LEFT,1,Searching
goblin1,1,54,18310,18854,546,1565.6,428.5,4804,LEFT,1,Searching
goblin1,1,55,18902,19570,670,1104.5,483.1,5256,LEFT,1,Searching
goblin1,1,56,19616,19916,302,806.4,480.3,5398,LEFT,1,Searching
goblin1,1,57,19930,20162,234,838.6,480.8,5423,LEFT,1,Searching
goblin1,1,58,20210,21022,814,383.8,481.7,5175,LEFT,1,Searching
goblin1,1,59,21046,21188,144,302.6,468.1,5194,LEFT,1,Searching
goblin1,2,1,4,54,52,304.8,466.5,5215,LEFT,1,Searching
goblin1,2,2,92,312,222,197.3,302.9,5256,LEFT,1,Searching
goblin1,2,3,354,538,186,595,307.1,5165,LEFT,1,Searching
goblin1,2,4,580,780,202,823.5,578.8,5269,LEFT,1,Searching
goblin1,2,5,820,972,154,531.2,703.8,5278,LEFT,1,Searching
goblin1,2,6,1002,1392,392,376.7,586.4,5078,LEFT,1,Searching
goblin1,2,7,1412,1772,362,427.3,564.9,5170,LEFT,1,Searching
goblin1,2,8,1798,2200,404,486.1,499,5269,LEFT,1,Searching
goblin1,2,9,2224,2416,194,475.7,441.2,5200,LEFT,1,Searching
goblin1,2,10,2426,3224,800,458.2,418.3,5234,LEFT,1,Searching
goblin1,2,11,3270,3558,290,859.6,548,5415,LEFT,1,Searching
goblin1,2,12,3580,4266,688,817.9,576.5,5539,LEFT,1,Searching
goblin1,2,13,4322,4816,496,1473.8,621,5402,LEFT,1,Searching
goblin1,2,14,4830,5048,220,1468.7,661.9,5332,LEFT,1,Searching
goblin1,2,15,5090,5336,248,1356.2,956.1,5487,LEFT,1,Searching
goblin1,2,16,5370,5638,270,1137.4,995.4,5600,LEFT,1,Searching
goblin1,2,17,5686,5926,242,733.2,1024.6,5634,LEFT,1,Searching
goblin1,2,18,5950,6284,336,658.2,1025.5,5555,LEFT,1,Searching
goblin1,2,19,6336,6656,322,158.1,1010.9,5665,LEFT,1,Searching
goblin1,2,20,6708,7054,348,694.1,702.3,5664,LEFT,1,Searching
goblin1,2,21,7080,7338,260,794.6,722.4,5446,LEFT,1,Searching
goblin1,2,22,7358,7590,234,818,675.3,5237,LEFT,1,Searching
goblin1,2,23,7602,7764,164,817,657.7,5167,LEFT,1,Searching
goblin1,2,24,7786,8356,572,832.3,592.8,5104,LEFT,1,Searching
goblin1,2,25,8380,8574,196,933,580.6,5164,LEFT,1,Searching
goblin1,2,26,8600,9322,724,823.3,549.9,5185,LEFT,1,Searching
goblin1,2,27,9346,9760,416,885.9,482.6,5219,LEFT,1,Searching
